yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
20004,1320.28,16.270,50.000,0.1518515036,0.0577,0.0721,0.0802,0.0558,0.0036686485,-0.0022506275,0.0144250000,0.0057603700,0.0767406057,0.0587531454,0.0141398687,-0.0005248530,0.0431683516,-0.0768149507,-0.0795491521,3.980,9.070
20011,1160.33,15.970,45.440,0.1331135514,0.0442,0.0698,0.0784,0.0559,-0.0014917888,-0.0052002182,0.0110500000,0.0085910700,0.0120644393,0.0460136678,0.0146091270,-0.0018640665,0.0420560179,-0.1213082778,-0.1239700047,3.780,9.180
20012,1224.42,15.690,36.790,0.1252094328,0.0349,0.0718,0.0797,0.0590,-0.0013919057,0.0050470935,0.0087250000,0.0090857500,-0.0194513944,0.0057323107,0.0114708260,-0.0015922058,0.0404118319,0.0586350198,0.0554551380,3.840,4.830
20013,1040.94,15.740,28.310,0.1486285882,0.0264,0.0717,0.0803,0.0542,0.0071626069,0.0086679553,0.0066000000,0.0022509900,0.0675522539,0.0362687600,0.0122886671,-0.0018229150,0.0392780733,-0.1467230479,-0.1498055762,4.140,5.230
20014,1148.08,15.740,24.690,0.1312178459,0.0169,0.0677,0.0805,0.0575,-0.0003869926,0.0134669755,0.0042250000,-0.0039303800,-0.0211326364,0.0148617340,0.0072370634,-0.0013361672,0.0376032511,0.1098235668,0.1058511510,3.980,5.450
20021,1147.39,15.730,24.700,0.2368334023,0.0179,0.0681,0.0811,0.0604,-0.0026034918,0.0137617687,0.0044750000,0.0062006800,-0.0192512993,0.0003210388,0.0067665453,-0.0022385902,0.0363809284,0.0027864087,-0.0006014951,3.770,9.190
20022,989.81,16.040,26.740,0.2665725018,0.0170,0.0663,0.0795,0.0566,0.0029370441,0.0275267490,0.0042500000,0.0061624600,0.0620574000,0.0444551570,0.0101293111,-0.0026067905,0.0354940729,-0.1347992581,-0.1381593054,4.150,6.870
20023,815.29,15.801,30.040,0.3245551555,0.0163,0.0615,0.0740,0.0480,0.0111771947,0.0292450837,0.0040750000,0.0066815100,0.1230629369,0.0898407010,0.0321181305,-0.0032126151,0.0349181394,-0.1690639049,-0.1727613394,3.901,8.530
20024,879.82,16.077,27.590,0.2953858956,0.0119,0.0621,0.0745,0.0484,0.0126479473,0.0256984384,0.0029750000,0.0055309700,0.0073677451,0.0243796368,0.0186782399,-0.0041443054,0.0341605025,0.0850204225,0.0798847865,4.256,3.000
20031,848.18,16.229,30.320,0.2861177008,0.0113,0.0589,0.0695,0.0490,0.0166285993,0.0240580381,0.0028250000,0.0115511600,0.0081549180,0.0203269965,0.0138678061,NaN,0.0339308736,-0.0315387316,-0.0360380855,3.922,11.920
20032,974.51,16.165,34.550,0.2544883373,0.0092,0.0497,0.0619,0.0445,0.0060371746,0.0012176326,0.0023000000,-0.0043501900,0.0535257809,0.0557621662,0.0072909206,NaN,0.0344432688,0.1550485850,0.1500739153,4.086,11.100
20033,995.97,16.586,38.580,0.2465417826,0.0094,0.0572,0.0679,0.0523,0.0069472391,0.0073209903,0.0023500000,0.0109229900,-0.0331744846,-0.0212562983,0.0048812058,NaN,0.0348049174,0.0267366914,0.0222877999,4.322,12.560
20034,1111.92,17.385,48.740,0.2187398648,0.0090,0.0562,0.0660,0.0515,-0.0008495459,0.0069456916,0.0022500000,0.0021609900,-0.0174534279,-0.0015169173,0.0032209080,NaN,0.0349602033,0.1204963950,0.1151994532,5.055,13.160
20041,1126.21,18.023,52.000,0.2817314655,0.0094,0.0533,0.0611,0.0474,-0.0020352937,0.0122458850,0.0023500000,0.0086253400,0.0568241344,0.0490674877,0.0035707934,NaN,0.0342309201,0.0182680513,0.0141655413,4.560,15.180
20042,1140.84,18.601,56.150,0.2796316030,0.0127,0.0601,0.0678,0.0532,-0.0062974821,0.0144974259,0.0031750000,0.0096205200,-0.0522696815,-0.0513799840,0.0029793061,NaN,0.0346719824,0.0172783675,0.0130347492,4.664,15.250
